	ggal_miRb21_bbmap_1	ggal_miRb21_bbmap_10	ggal_miRb21_bbmap_11	ggal_miRb21_bbmap_12	ggal_miRb21_bbmap_2	ggal_miRb21_bbmap_3	ggal_miRb21_bbmap_4	ggal_miRb21_bbmap_5	ggal_miRb21_bbmap_6	ggal_miRb21_bbmap_7	ggal_miRb21_bbmap_8	ggal_miRb21_bbmap_9
gga-miR-6610	0	0	0	0	0	0	0	2	0	0	1	0
gga-miR-466	0	0	0	0	2	0	0	1	0	0	0	0
gga-miR-20b	13	6	6	9	15	8	13	9	2	2	3	7
gga-miR-222b	13	8	24	28	24	30	49	10	3	14	9	6
gga-miR-1792	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6578	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1754	3	1	1	5	5	2	3	0	2	1	2	1
gga-miR-458b	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1583	1	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6646	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-193a	19	6	26	13	25	35	38	19	24	19	50	31
gga-miR-1562	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1570	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-106	486	416	1552	1429	750	815	1892	1368	901	424	856	1094
gga-miR-1804	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1551	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-20a	24317	12366	46726	26916	31210	39283	36037	31927	14819	15178	33479	41789
gga-miR-7476	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-7461	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1689	0	0	0	1	0	1	1	0	0	0	0	0
gga-miR-1434	18	7	14	9	25	27	9	13	4	4	18	5
gga-miR-7455	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-383	27	10	19	22	35	33	15	31	10	5	33	15
gga-miR-1684a	4	0	3	0	0	3	5	1	0	0	3	0
gga-miR-1755	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1731	2	1	2	4	2	3	2	5	0	0	0	2
gga-miR-1655	2	1	0	1	0	1	0	0	0	0	1	0
gga-miR-1458	0	0	1	0	0	0	0	0	0	0	0	0
