gene_id,UP_90_10_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_11_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_12_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_1_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_2_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_3_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_4_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_5_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_6_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_7_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_8_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_9_IonXpressRNA.Aligned.sortedByCoord.out
ENSGALG00000051161,1,1,1,1,0,1,1,0,1,1,1,1
ENSGALG00000027816,0,1,0,0,0,0,0,0,1,1,1,1
ENSGALG00000053050,9,6,3,5,0,8,1,1,4,19,2,9
ENSGALG00000053051,2,2,1,1,1,19,1,1,1,1,1,6
ENSGALG00000053052,5,14,0,15,24,63,15,13,22,25,10,4
ENSGALG00000053053,0,17,9,16,0,8,0,0,54,7,4,0
ENSGALG00000053054,0,5,0,4,7,0,0,0,0,0,0,3
ENSGALG00000053055,29,22,13,25,21,19,18,0,193,55,42,33
ENSGALG00000053056,1,1,0,1,1,0,1,0,1,1,1,0
ENSGALG00000053057,67,28,11,10,3,117,5,4,12,80,3,8
ENSGALG00000053058,759,1753,694,404,297,735,447,783,886,647,537,976
ENSGALG00000053059,1,2,0,0,1,1,7,0,1,7,0,1
ENSGALG00000016661,453,856,476,228,175,2726,173,352,461,440,191,241
ENSGALG00000016662,1,2,1,2,1,2,1,1,3,1,2,1
ENSGALG00000016664,0,2,5,1,0,2,0,0,1,0,1,0
ENSGALG00000016665,6747,6014,1821,3473,4438,12420,5771,6709,10525,2106,1476,9374
ENSGALG00000016667,0,0,1,0,0,0,0,0,0,1,0,0
ENSGALG00000016668,0,0,0,0,0,0,0,0,0,0,8,0
ENSGALG00000016669,0,0,5,10,0,0,0,0,24,7,26,18
ENSGALG00000046728,7,1,3,6,0,2,6,2,1,2,1,7
ENSGALG00000025464,188,92,55,330,40,348,66,42,78,44,58,63
ENSGALG00000025462,8,17,19,45,21,90,16,13,39,25,13,23
ENSGALG00000025468,1,0,0,0,0,0,0,0,0,1,0,0
ENSGALG00000025469,2,1,1,3,0,4,1,0,4,2,1,0
ENSGALG00000005369,654,1301,615,1350,506,2129,1030,846,1013,380,820,915
ENSGALG00000027909,581,1441,731,815,397,1022,502,558,1000,575,665,789
ENSGALG00000027908,1053,1320,771,2688,805,2889,2017,1047,993,645,1684,850
ENSGALG00000046974,36,8,8,34,11,121,13,34,58,26,15,42
ENSGALG00000027905,1108,1684,520,713,685,3145,727,800,1823,876,569,798
ENSGALG00000027907,502,609,264,507,462,640,376,319,913,656,377,506
ENSGALG00000027900,1,0,0,1,0,1,0,0,0,0,0,0
ENSGALG00000027902,772,1100,644,460,574,1246,351,787,1237,1012,492,677
